Kota/Kabupaten,Tanggal,Imsak,Subuh,Terbit,Dhuha,Dzuhur,Ashar,Maghrib,Isya
Kota Jakarta,"Sabtu, 01/01/2028",04:09,04:19,05:38,06:07,11:59,15:25,18:13,19:29
Kota Jakarta,"Minggu, 02/01/2028",04:09,04:19,05:39,06:08,12:00,15:26,18:14,19:29
Kota Jakarta,"Senin, 03/01/2028",04:10,04:20,05:39,06:08,12:00,15:26,18:14,19:29
Kota Jakarta,"Selasa, 04/01/2028",04:11,04:21,05:40,06:09,12:01,15:27,18:15,19:30
Kota Jakarta,"Rabu, 05/01/2028",04:11,04:21,05:40,06:09,12:01,15:27,18:15,19:30
Kota Jakarta,"Kamis, 06/01/2028",04:12,04:22,05:41,06:10,12:02,15:27,18:15,19:30
Kota Jakarta,"Jumat, 07/01/2028",04:12,04:22,05:41,06:10,12:02,15:28,18:16,19:31
Kota Jakarta,"Sabtu, 08/01/2028",04:13,04:23,05:42,06:11,12:03,15:28,18:16,19:31
Kota Jakarta,"Minggu, 09/01/2028",04:14,04:24,05:42,06:11,12:03,15:28,18:16,19:31
Kota Jakarta,"Senin, 10/01/2028",04:14,04:24,05:43,06:12,12:03,15:28,18:17,19:32
Kota Jakarta,"Selasa, 11/01/2028",04:15,04:25,05:43,06:12,12:04,15:29,18:17,19:32
Kota Jakarta,"Rabu, 12/01/2028",04:15,04:25,05:44,06:13,12:04,15:29,18:17,19:32
Kota Jakarta,"Kamis, 13/01/2028",04:16,04:26,05:44,06:13,12:05,15:29,18:18,19:32
Kota Jakarta,"Jumat, 14/01/2028",04:16,04:26,05:45,06:14,12:05,15:29,18:18,19:32
Kota Jakarta,"Sabtu, 15/01/2028",04:17,04:27,05:45,06:14,12:05,15:29,18:18,19:33
Kota Jakarta,"Minggu, 16/01/2028",04:18,04:28,05:46,06:14,12:06,15:30,18:19,19:33
Kota Jakarta,"Senin, 17/01/2028",04:18,04:28,05:46,06:15,12:06,15:30,18:19,19:33
Kota Jakarta,"Selasa, 18/01/2028",04:19,04:29,05:47,06:15,12:06,15:30,18:19,19:33
Kota Jakarta,"Rabu, 19/01/2028",04:19,04:29,05:47,06:16,12:07,15:30,18:19,19:33
Kota Jakarta,"Kamis, 20/01/2028",04:20,04:30,05:47,06:16,12:07,15:30,18:19,19:33
Kota Jakarta,"Jumat, 21/01/2028",04:20,04:30,05:48,06:16,12:07,15:30,18:20,19:33
Kota Jakarta,"Sabtu, 22/01/2028",04:21,04:31,05:48,06:17,12:08,15:30,18:20,19:33
Kota Jakarta,"Minggu, 23/01/2028",04:21,04:31,05:49,06:17,12:08,15:30,18:20,19:33
Kota Jakarta,"Senin, 24/01/2028",04:22,04:32,05:49,06:17,12:08,15:30,18:20,19:33
Kota Jakarta,"Selasa, 25/01/2028",04:22,04:32,05:49,06:18,12:08,15:30,18:20,19:33
Kota Jakarta,"Rabu, 26/01/2028",04:23,04:33,05:50,06:18,12:09,15:30,18:20,19:33
Kota Jakarta,"Kamis, 27/01/2028",04:23,04:33,05:50,06:18,12:09,15:30,18:20,19:33
Kota Jakarta,"Jumat, 28/01/2028",04:24,04:34,05:50,06:19,12:09,15:30,18:20,19:33
Kota Jakarta,"Sabtu, 29/01/2028",04:24,04:34,05:51,06:19,12:09,15:30,18:20,19:33
Kota Jakarta,"Minggu, 30/01/2028",04:25,04:35,05:51,06:19,12:09,15:29,18:20,19:33
Kota Jakarta,"Senin, 31/01/2028",04:25,04:35,05:51,06:20,12:09,15:29,18:21,19:33
Kota Jakarta,"Selasa, 01/02/2028",04:26,04:36,05:52,06:20,12:10,15:29,18:21,19:33
Kota Jakarta,"Rabu, 02/02/2028",04:26,04:36,05:52,06:20,12:10,15:29,18:21,19:33
Kota Jakarta,"Kamis, 03/02/2028",04:27,04:37,05:52,06:20,12:10,15:28,18:20,19:32
Kota Jakarta,"Jumat, 04/02/2028",04:27,04:37,05:52,06:21,12:10,15:28,18:20,19:32
Kota Jakarta,"Sabtu, 05/02/2028",04:27,04:37,05:53,06:21,12:10,15:28,18:20,19:32
Kota Jakarta,"Minggu, 06/02/2028",04:28,04:38,05:53,06:21,12:10,15:27,18:20,19:32
Kota Jakarta,"Senin, 07/02/2028",04:28,04:38,05:53,06:21,12:10,15:27,18:20,19:32
Kota Jakarta,"Selasa, 08/02/2028",04:28,04:38,05:53,06:21,12:10,15:27,18:20,19:31
Kota Jakarta,"Rabu, 09/02/2028",04:29,04:39,05:54,06:21,12:10,15:26,18:20,19:31
Kota Jakarta,"Kamis, 10/02/2028",04:29,04:39,05:54,06:22,12:10,15:26,18:20,19:31
Kota Jakarta,"Jumat, 11/02/2028",04:29,04:39,05:54,06:22,12:10,15:25,18:20,19:31
Kota Jakarta,"Sabtu, 12/02/2028",04:30,04:40,05:54,06:22,12:10,15:25,18:20,19:30
Kota Jakarta,"Minggu, 13/02/2028",04:30,04:40,05:54,06:22,12:10,15:24,18:19,19:30
Kota Jakarta,"Senin, 14/02/2028",04:30,04:40,05:54,06:22,12:10,15:24,18:19,19:30
Kota Jakarta,"Selasa, 15/02/2028",04:30,04:40,05:54,06:22,12:10,15:23,18:19,19:30
Kota Jakarta,"Rabu, 16/02/2028",04:31,04:41,05:55,06:22,12:10,15:23,18:19,19:29
Kota Jakarta,"Kamis, 17/02/2028",04:31,04:41,05:55,06:22,12:10,15:22,18:19,19:29
Kota Jakarta,"Jumat, 18/02/2028",04:31,04:41,05:55,06:22,12:10,15:21,18:18,19:29
Kota Jakarta,"Sabtu, 19/02/2028",04:31,04:41,05:55,06:22,12:10,15:21,18:18,19:28
Kota Jakarta,"Minggu, 20/02/2028",04:32,04:42,05:55,06:23,12:10,15:20,18:18,19:28
Kota Jakarta,"Senin, 21/02/2028",04:32,04:42,05:55,06:23,12:10,15:19,18:18,19:27
Kota Jakarta,"Selasa, 22/02/2028",04:32,04:42,05:55,06:23,12:10,15:18,18:17,19:27
Kota Jakarta,"Rabu, 23/02/2028",04:32,04:42,05:55,06:23,12:10,15:18,18:17,19:27
Kota Jakarta,"Kamis, 24/02/2028",04:32,04:42,05:55,06:23,12:09,15:17,18:17,19:26
Kota Jakarta,"Jumat, 25/02/2028",04:32,04:42,05:55,06:23,12:09,15:16,18:16,19:26
Kota Jakarta,"Sabtu, 26/02/2028",04:32,04:42,05:55,06:23,12:09,15:15,18:16,19:25
Kota Jakarta,"Minggu, 27/02/2028",04:33,04:43,05:55,06:23,12:09,15:14,18:16,19:25
Kota Jakarta,"Senin, 28/02/2028",04:33,04:43,05:55,06:23,12:09,15:13,18:15,19:25
Kota Jakarta,"Selasa, 29/02/2028",04:33,04:43,05:55,06:23,12:09,15:12,18:15,19:24
Kota Jakarta,"Rabu, 01/03/2028",04:33,04:43,05:55,06:22,12:08,15:11,18:15,19:24
Kota Jakarta,"Kamis, 02/03/2028",04:33,04:43,05:55,06:22,12:08,15:10,18:14,19:23
Kota Jakarta,"Jumat, 03/03/2028",04:33,04:43,05:55,06:22,12:08,15:09,18:14,19:23
Kota Jakarta,"Sabtu, 04/03/2028",04:33,04:43,05:55,06:22,12:08,15:08,18:13,19:22
Kota Jakarta,"Minggu, 05/03/2028",04:33,04:43,05:55,06:22,12:08,15:08,18:13,19:22
Kota Jakarta,"Senin, 06/03/2028",04:33,04:43,05:55,06:22,12:07,15:09,18:13,19:21
Kota Jakarta,"Selasa, 07/03/2028",04:33,04:43,05:55,06:22,12:07,15:09,18:12,19:21
Kota Jakarta,"Rabu, 08/03/2028",04:33,04:43,05:55,06:22,12:07,15:09,18:12,19:21
Kota Jakarta,"Kamis, 09/03/2028",04:33,04:43,05:55,06:22,12:07,15:10,18:11,19:20
Kota Jakarta,"Jumat, 10/03/2028",04:33,04:43,05:55,06:22,12:06,15:10,18:11,19:20
Kota Jakarta,"Sabtu, 11/03/2028",04:33,04:43,05:55,06:22,12:06,15:10,18:11,19:19
Kota Jakarta,"Minggu, 12/03/2028",04:33,04:43,05:54,06:22,12:06,15:11,18:10,19:19
Kota Jakarta,"Senin, 13/03/2028",04:33,04:43,05:54,06:22,12:06,15:11,18:10,19:18
Kota Jakarta,"Selasa, 14/03/2028",04:33,04:43,05:54,06:21,12:05,15:11,18:09,19:18
Kota Jakarta,"Rabu, 15/03/2028",04:33,04:43,05:54,06:21,12:05,15:12,18:09,19:17
Kota Jakarta,"Kamis, 16/03/2028",04:33,04:43,05:54,06:21,12:05,15:12,18:08,19:17
Kota Jakarta,"Jumat, 17/03/2028",04:32,04:42,05:54,06:21,12:04,15:12,18:08,19:16
Kota Jakarta,"Sabtu, 18/03/2028",04:32,04:42,05:54,06:21,12:04,15:12,18:07,19:16
Kota Jakarta,"Minggu, 19/03/2028",04:32,04:42,05:54,06:21,12:04,15:13,18:07,19:15
Kota Jakarta,"Senin, 20/03/2028",04:32,04:42,05:54,06:21,12:04,15:13,18:06,19:15
Kota Jakarta,"Selasa, 21/03/2028",04:32,04:42,05:54,06:21,12:04,15:14,18:06,19:15
Kota Jakarta,"Rabu, 22/03/2028",04:32,04:42,05:53,06:20,12:03,15:13,18:06,19:14
Kota Jakarta,"Kamis, 23/03/2028",04:32,04:42,05:53,06:20,12:03,15:13,18:05,19:13
Kota Jakarta,"Jumat, 24/03/2028",04:32,04:42,05:53,06:20,12:02,15:14,18:05,19:13
Kota Jakarta,"Sabtu, 25/03/2028",04:31,04:41,05:53,06:20,12:02,15:14,18:04,19:12
Kota Jakarta,"Minggu, 26/03/2028",04:31,04:41,05:53,06:20,12:02,15:14,18:04,19:12
Kota Jakarta,"Senin, 27/03/2028",04:31,04:41,05:53,06:20,12:01,15:14,18:03,19:12
Kota Jakarta,"Selasa, 28/03/2028",04:31,04:41,05:53,06:20,12:01,15:14,18:03,19:11
Kota Jakarta,"Rabu, 29/03/2028",04:31,04:41,05:52,06:20,12:01,15:14,18:02,19:11
Kota Jakarta,"Kamis, 30/03/2028",04:31,04:41,05:52,06:19,12:01,15:14,18:02,19:10
Kota Jakarta,"Jumat, 31/03/2028",04:31,04:41,05:52,06:19,12:00,15:14,18:01,19:10
Kota Jakarta,"Sabtu, 01/04/2028",04:30,04:40,05:52,06:19,12:00,15:14,18:01,19:09
Kota Jakarta,"Minggu, 02/04/2028",04:30,04:40,05:52,06:19,12:00,15:14,18:00,19:09
Kota Jakarta,"Senin, 03/04/2028",04:30,04:40,05:52,06:19,11:59,15:14,18:00,19:09
Kota Jakarta,"Selasa, 04/04/2028",04:30,04:40,05:52,06:19,11:59,15:14,17:59,19:08
Kota Jakarta,"Rabu, 05/04/2028",04:30,04:40,05:52,06:19,11:59,15:14,17:59,19:08
Kota Jakarta,"Kamis, 06/04/2028",04:30,04:40,05:51,06:19,11:59,15:14,17:59,19:07
Kota Jakarta,"Jumat, 07/04/2028",04:29,04:39,05:51,06:19,11:58,15:14,17:58,19:07
Kota Jakarta,"Sabtu, 08/04/2028",04:29,04:39,05:51,06:18,11:58,15:14,17:58,19:07
Kota Jakarta,"Minggu, 09/04/2028",04:29,04:39,05:51,06:18,11:58,15:14,17:57,19:06
Kota Jakarta,"Senin, 10/04/2028",04:29,04:39,05:51,06:18,11:57,15:14,17:57,19:06
Kota Jakarta,"Selasa, 11/04/2028",04:29,04:39,05:51,06:18,11:57,15:14,17:56,19:05
Kota Jakarta,"Rabu, 12/04/2028",04:29,04:39,05:51,06:18,11:57,15:14,17:56,19:05
Kota Jakarta,"Kamis, 13/04/2028",04:28,04:38,05:51,06:18,11:57,15:14,17:56,19:05
Kota Jakarta,"Jumat, 14/04/2028",04:28,04:38,05:51,06:18,11:56,15:14,17:55,19:04
Kota Jakarta,"Sabtu, 15/04/2028",04:28,04:38,05:50,06:18,11:56,15:14,17:55,19:04
Kota Jakarta,"Minggu, 16/04/2028",04:28,04:38,05:50,06:18,11:56,15:14,17:54,19:04
Kota Jakarta,"Senin, 17/04/2028",04:28,04:38,05:50,06:18,11:56,15:14,17:54,19:03
Kota Jakarta,"Selasa, 18/04/2028",04:28,04:38,05:50,06:18,11:55,15:14,17:54,19:03
Kota Jakarta,"Rabu, 19/04/2028",04:27,04:37,05:50,06:18,11:55,15:14,17:53,19:03
Kota Jakarta,"Kamis, 20/04/2028",04:27,04:37,05:50,06:18,11:55,15:14,17:53,19:03
Kota Jakarta,"Jumat, 21/04/2028",04:27,04:37,05:50,06:18,11:55,15:14,17:53,19:02
Kota Jakarta,"Sabtu, 22/04/2028",04:27,04:37,05:50,06:18,11:55,15:14,17:52,19:02
Kota Jakarta,"Minggu, 23/04/2028",04:27,04:37,05:50,06:18,11:54,15:14,17:52,19:02
Kota Jakarta,"Senin, 24/04/2028",04:27,04:37,05:50,06:18,11:54,15:14,17:52,19:02
Kota Jakarta,"Selasa, 25/04/2028",04:27,04:37,05:50,06:18,11:54,15:14,17:51,19:01
Kota Jakarta,"Rabu, 26/04/2028",04:26,04:36,05:50,06:18,11:54,15:14,17:51,19:01
Kota Jakarta,"Kamis, 27/04/2028",04:26,04:36,05:50,06:18,11:54,15:14,17:51,19:01
Kota Jakarta,"Jumat, 28/04/2028",04:26,04:36,05:50,06:18,11:54,15:14,17:50,19:01
Kota Jakarta,"Sabtu, 29/04/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:50,19:01
Kota Jakarta,"Minggu, 30/04/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:50,19:00
Kota Jakarta,"Senin, 01/05/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:50,19:00
Kota Jakarta,"Selasa, 02/05/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:49,19:00
Kota Jakarta,"Rabu, 03/05/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:49,19:00
Kota Jakarta,"Kamis, 04/05/2028",04:26,04:36,05:50,06:18,11:53,15:14,17:49,19:00
Kota Jakarta,"Jumat, 05/05/2028",04:26,04:36,05:50,06:18,11:53,15:13,17:49,19:00
Kota Jakarta,"Sabtu, 06/05/2028",04:26,04:36,05:50,06:18,11:53,15:13,17:49,19:00
Kota Jakarta,"Minggu, 07/05/2028",04:25,04:35,05:50,06:18,11:53,15:13,17:48,19:00
Kota Jakarta,"Senin, 08/05/2028",04:25,04:35,05:50,06:18,11:53,15:13,17:48,19:00
Kota Jakarta,"Selasa, 09/05/2028",04:25,04:35,05:50,06:18,11:53,15:13,17:48,18:59
Kota Jakarta,"Rabu, 10/05/2028",04:25,04:35,05:50,06:19,11:53,15:13,17:48,18:59
Kota Jakarta,"Kamis, 11/05/2028",04:25,04:35,05:50,06:19,11:53,15:13,17:48,18:59
Kota Jakarta,"Jumat, 12/05/2028",04:25,04:35,05:50,06:19,11:53,15:13,17:48,18:59
Kota Jakarta,"Sabtu, 13/05/2028",04:25,04:35,05:51,06:19,11:53,15:13,17:47,18:59
Kota Jakarta,"Minggu, 14/05/2028",04:25,04:35,05:51,06:19,11:53,15:14,17:47,18:59
Kota Jakarta,"Senin, 15/05/2028",04:25,04:35,05:51,06:19,11:53,15:14,17:47,18:59
Kota Jakarta,"Selasa, 16/05/2028",04:25,04:35,05:51,06:19,11:53,15:14,17:47,18:59
Kota Jakarta,"Rabu, 17/05/2028",04:25,04:35,05:51,06:20,11:53,15:14,17:47,18:59
Kota Jakarta,"Kamis, 18/05/2028",04:25,04:35,05:51,06:20,11:53,15:14,17:47,18:59
Kota Jakarta,"Jumat, 19/05/2028",04:25,04:35,05:51,06:20,11:53,15:14,17:47,18:59
Kota Jakarta,"Sabtu, 20/05/2028",04:25,04:35,05:51,06:20,11:53,15:14,17:47,19:00
Kota Jakarta,"Minggu, 21/05/2028",04:25,04:35,05:52,06:20,11:53,15:14,17:47,19:00
Kota Jakarta,"Senin, 22/05/2028",04:26,04:36,05:52,06:20,11:53,15:14,17:47,19:00
Kota Jakarta,"Selasa, 23/05/2028",04:26,04:36,05:52,06:21,11:53,15:14,17:47,19:00
Kota Jakarta,"Rabu, 24/05/2028",04:26,04:36,05:52,06:21,11:53,15:14,17:47,19:00
Kota Jakarta,"Kamis, 25/05/2028",04:26,04:36,05:52,06:21,11:53,15:14,17:47,19:00
Kota Jakarta,"Jumat, 26/05/2028",04:26,04:36,05:53,06:21,11:53,15:14,17:47,19:00
Kota Jakarta,"Sabtu, 27/05/2028",04:26,04:36,05:53,06:22,11:53,15:14,17:47,19:00
Kota Jakarta,"Minggu, 28/05/2028",04:26,04:36,05:53,06:22,11:53,15:15,17:47,19:00
Kota Jakarta,"Senin, 29/05/2028",04:26,04:36,05:53,06:22,11:54,15:15,17:47,19:00
Kota Jakarta,"Selasa, 30/05/2028",04:26,04:36,05:53,06:22,11:54,15:15,17:47,19:01
Kota Jakarta,"Rabu, 31/05/2028",04:26,04:36,05:54,06:22,11:54,15:15,17:47,19:01
Kota Jakarta,"Kamis, 01/06/2028",04:27,04:37,05:54,06:23,11:54,15:15,17:47,19:01
Kota Jakarta,"Jumat, 02/06/2028",04:27,04:37,05:54,06:23,11:54,15:15,17:47,19:01
Kota Jakarta,"Sabtu, 03/06/2028",04:27,04:37,05:54,06:23,11:54,15:15,17:48,19:01
Kota Jakarta,"Minggu, 04/06/2028",04:27,04:37,05:54,06:23,11:55,15:16,17:48,19:01
Kota Jakarta,"Senin, 05/06/2028",04:27,04:37,05:55,06:24,11:55,15:16,17:48,19:02
Kota Jakarta,"Selasa, 06/06/2028",04:27,04:37,05:55,06:24,11:55,15:16,17:48,19:02
Kota Jakarta,"Rabu, 07/06/2028",04:28,04:38,05:55,06:24,11:55,15:16,17:48,19:02
Kota Jakarta,"Kamis, 08/06/2028",04:28,04:38,05:55,06:24,11:55,15:16,17:48,19:02
Kota Jakarta,"Jumat, 09/06/2028",04:28,04:38,05:56,06:25,11:55,15:16,17:48,19:02
Kota Jakarta,"Sabtu, 10/06/2028",04:28,04:38,05:56,06:25,11:56,15:17,17:49,19:03
Kota Jakarta,"Minggu, 11/06/2028",04:28,04:38,05:56,06:25,11:56,15:17,17:49,19:03
Kota Jakarta,"Senin, 12/06/2028",04:28,04:38,05:56,06:25,11:56,15:17,17:49,19:03
Kota Jakarta,"Selasa, 13/06/2028",04:29,04:39,05:56,06:26,11:56,15:17,17:49,19:03
Kota Jakarta,"Rabu, 14/06/2028",04:29,04:39,05:57,06:26,11:57,15:17,17:49,19:03
Kota Jakarta,"Kamis, 15/06/2028",04:29,04:39,05:57,06:26,11:57,15:18,17:49,19:04
Kota Jakarta,"Jumat, 16/06/2028",04:29,04:39,05:57,06:26,11:57,15:18,17:50,19:04
Kota Jakarta,"Sabtu, 17/06/2028",04:29,04:39,05:57,06:27,11:57,15:18,17:50,19:04
Kota Jakarta,"Minggu, 18/06/2028",04:30,04:40,05:58,06:27,11:57,15:18,17:50,19:04
Kota Jakarta,"Senin, 19/06/2028",04:30,04:40,05:58,06:27,11:58,15:19,17:50,19:05
Kota Jakarta,"Selasa, 20/06/2028",04:30,04:40,05:58,06:27,11:58,15:19,17:51,19:05
Kota Jakarta,"Rabu, 21/06/2028",04:30,04:40,05:58,06:28,11:58,15:19,17:51,19:05
Kota Jakarta,"Kamis, 22/06/2028",04:31,04:41,05:59,06:28,11:58,15:19,17:51,19:05
Kota Jakarta,"Jumat, 23/06/2028",04:31,04:41,05:59,06:28,11:58,15:19,17:51,19:05
Kota Jakarta,"Sabtu, 24/06/2028",04:31,04:41,05:59,06:28,11:59,15:20,17:51,19:06
Kota Jakarta,"Minggu, 25/06/2028",04:31,04:41,05:59,06:28,11:59,15:20,17:52,19:06
Kota Jakarta,"Senin, 26/06/2028",04:31,04:41,05:59,06:29,11:59,15:20,17:52,19:06
Kota Jakarta,"Selasa, 27/06/2028",04:32,04:42,06:00,06:29,11:59,15:20,17:52,19:06
Kota Jakarta,"Rabu, 28/06/2028",04:32,04:42,06:00,06:29,12:00,15:21,17:52,19:06
Kota Jakarta,"Kamis, 29/06/2028",04:32,04:42,06:00,06:29,12:00,15:21,17:53,19:07
Kota Jakarta,"Jumat, 30/06/2028",04:32,04:42,06:00,06:29,12:00,15:21,17:53,19:07
Kota Jakarta,"Sabtu, 01/07/2028",04:32,04:42,06:00,06:29,12:00,15:21,17:53,19:07
Kota Jakarta,"Minggu, 02/07/2028",04:33,04:43,06:00,06:30,12:00,15:21,17:53,19:07
Kota Jakarta,"Senin, 03/07/2028",04:33,04:43,06:01,06:30,12:00,15:22,17:53,19:07
Kota Jakarta,"Selasa, 04/07/2028",04:33,04:43,06:01,06:30,12:01,15:22,17:54,19:08
Kota Jakarta,"Rabu, 05/07/2028",04:33,04:43,06:01,06:30,12:01,15:22,17:54,19:08
Kota Jakarta,"Kamis, 06/07/2028",04:33,04:43,06:01,06:30,12:01,15:22,17:54,19:08
Kota Jakarta,"Jumat, 07/07/2028",04:34,04:44,06:01,06:30,12:01,15:22,17:54,19:08
Kota Jakarta,"Sabtu, 08/07/2028",04:34,04:44,06:01,06:30,12:01,15:22,17:54,19:08
Kota Jakarta,"Minggu, 09/07/2028",04:34,04:44,06:01,06:30,12:01,15:23,17:55,19:08
Kota Jakarta,"Senin, 10/07/2028",04:34,04:44,06:01,06:30,12:02,15:23,17:55,19:08
